product_name,vendor_id,store,country,downloads
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,NO,89954
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,NP,518
"Google Docs: Sync, Edit, Share",842842640,apple,NP,13569
"Microsoft Word",586447913,apple,NP,19065
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,NP,36940
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,NZ,78007
"Google Docs: Sync, Edit, Share",842842640,apple,NZ,103426
"Microsoft Word",586447913,apple,NZ,53634
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,NZ,22963
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,OM,37409
"Google Docs: Sync, Edit, Share",842842640,apple,OM,24362
"Microsoft Word",586447913,apple,OM,45479
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,OM,42277
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,PA,66655
"Google Docs: Sync, Edit, Share",842842640,apple,PA,17093
"Microsoft Word",586447913,apple,PA,45385
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,PA,196416
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,PE,3420791
"Google Docs: Sync, Edit, Share",842842640,apple,PE,88174
"Microsoft Word",586447913,apple,PE,95192
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,PE,3463295
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,PH,5249780
"Google Docs: Sync, Edit, Share",842842640,apple,PH,327116
"Microsoft Word",586447913,apple,PH,316825
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,PH,5931365
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,PK,2100428
"Google Docs: Sync, Edit, Share",842842640,apple,PK,32654
"Microsoft Word",586447913,apple,PK,101070
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,PK,5793831
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,PL,1612299
"Google Docs: Sync, Edit, Share",842842640,apple,PL,173600
"Microsoft Word",586447913,apple,PL,169820
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,PL,1614598
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,PT,110117
"Google Docs: Sync, Edit, Share",842842640,apple,PT,78052
"Microsoft Word",586447913,apple,PT,87890
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,PT,108043
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,PY,58819
"Google Docs: Sync, Edit, Share",842842640,apple,PY,14813
"Microsoft Word",586447913,apple,PY,29601
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,PY,120912
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,QA,1348
"Google Docs: Sync, Edit, Share",842842640,apple,QA,13616
"Microsoft Word",586447913,apple,QA,29990
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,QA,26029
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,RO,992577
"Google Docs: Sync, Edit, Share",842842640,apple,RO,74441
"Microsoft Word",586447913,apple,RO,110466
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,RO,1349715
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,RU,3759987
"Google Docs: Sync, Edit, Share",842842640,apple,RU,722996
"Microsoft Word",586447913,apple,RU,1047426
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,RU,3758969
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,SA,2205992
"Google Docs: Sync, Edit, Share",842842640,apple,SA,182643
"Microsoft Word",586447913,apple,SA,863703
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,SA,2118019
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,SE,412416
"Google Docs: Sync, Edit, Share",842842640,apple,SE,250332
"Microsoft Word",586447913,apple,SE,142216
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,SE,290842
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,SG,70900
"Google Docs: Sync, Edit, Share",842842640,apple,SG,116389
"Microsoft Word",586447913,apple,SG,78100
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,SG,34992
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,SI,13630
"Google Docs: Sync, Edit, Share",842842640,apple,SI,13282
"Microsoft Word",586447913,apple,SI,17651
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,SI,12224
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,SK,25681
"Google Docs: Sync, Edit, Share",842842640,apple,SK,19398
"Microsoft Word",586447913,apple,SK,32153
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,SK,36150
"Google Docs: Sync, Edit, Share",842842640,apple,SN,2961
"Microsoft Word",586447913,apple,SN,32421
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,SN,22789
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,SV,86220
"Google Docs: Sync, Edit, Share",842842640,apple,SV,15013
"Microsoft Word",586447913,apple,SV,23434
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,SV,135149
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,TH,3642070
"Google Docs: Sync, Edit, Share",842842640,apple,TH,381970
"Microsoft Word",586447913,apple,TH,422761
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,TH,3500793
"Google Docs: Sync, Edit, Share",842842640,apple,TJ,112
"Microsoft Word",586447913,apple,TJ,3608
"Google Docs: Sync, Edit, Share",842842640,apple,TM,16
"Microsoft Word",586447913,apple,TM,670
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,TR,7301984
"Google Docs: Sync, Edit, Share",842842640,apple,TR,140007
"Microsoft Word",586447913,apple,TR,322788
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,TR,6168065
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,TW,878587
"Google Docs: Sync, Edit, Share",842842640,apple,TW,513530
"Microsoft Word",586447913,apple,TW,336690
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,TW,849050
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,UA,1611031
"Google Docs: Sync, Edit, Share",842842640,apple,UA,224050
"Microsoft Word",586447913,apple,UA,224745
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,UA,1532949
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,US,5876922
"Google Docs: Sync, Edit, Share",842842640,apple,US,10167665
"Microsoft Word",586447913,apple,US,3552009
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,US,4556606
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,UY,59833
"Google Docs: Sync, Edit, Share",842842640,apple,UY,31377
"Microsoft Word",586447913,apple,UY,23519
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,UY,55769
"Google Docs: Sync, Edit, Share",842842640,apple,UZ,1439
"Microsoft Word",586447913,apple,UZ,30760
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,UZ,166059
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,VN,5742913
"Google Docs: Sync, Edit, Share",842842640,apple,VN,623585
"Microsoft Word",586447913,apple,VN,741267
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,VN,5311959
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,ZA,1890982
"Google Docs: Sync, Edit, Share",842842640,apple,ZA,54879
"Microsoft Word",586447913,apple,ZA,118448
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,ZA,2102306
